nombre,latitud,longitud,categoria
Centro Comercial El Tablero,27.767263010582106,-15.601659952589404,shopping
Mercadona El Tablero,27.77050917377549, -15.605998207295984,shopping
SPAR,27.769900799576195,-15.60571439133892,shopping
Casa Carmen,27.7700777,-15.6056526,shopping
Hiperdino,27.7668391,-15.6015187,shopping
SuperDino,27.77222239914838,-15.604842572083887,shopping
5 Océanos el Tablero,27.768168270870476,-15.6075586280632,shopping

Centro Cultural El Tablero,27.771825897284415,-15.60359501049486,culture

Centro de Salud El Tablero,27.767264732712494,-15.595523133054142,health
Farmacia el Tablero,27.767897189756354,-15.603327445644515,health
Farmacia Carolina Viera,27.77268832330389,-15.60448654932946,health
Farmacia Gerardo Sánchez,27.770902455256287,-15.60324468650837,health
Farmacia Principal,27.769827029660533,-15.60510027588539,health

Ceip Pepe Monaga,27.76812501584702, -15.602535749053523,education
Instituto IES Tablero I,27.774544137089293,-15.606415476867182,education
Colegio Público El Tablero,27.768195363099288,-15.602012341172738,education
Escuela Infantil Los Diminutos,27.76918713334419,-15.602315915614758,education
Escuela Oficial de Idiomas,27.76936987755394,-15.602712882529397,education
Biblioteca,27.77202487716257,-15.60372229589029,education
Centro Formacion el Tblero,27.76868413747692,-15.608161376871477,education

Iglesia Santisima Trinidad,27.769969409120073,-15.60271910321181,religion
Iglesia Cristiana Evangélica del Sur,27.76889450610765,-15.608663698145488,religion


Parque de la Iglesia,27.76939564708828,-15.602473103391771,park
Parque Las Tabaibas,27.770431666325596,-15.608377381935453,park
Parque Deportivo/Creativo,27.76809871073221,-15.606177970691416,park
Parque Mayor el Tablero,27.770863330326158,-15.60627070228217,park
Parque del Sur,27.76482682284596,-15.596447074139936,park


Gasolinera El Tablero,27.766309268109374, -15.607799472075415,gas
ITV Maspalomas,27.766582059940657,-15.608141386224471,gas

Pabellon del Tablero,27.769186979681365,-15.604754405024497,sport
Piscina del Tablero,27.772207610949188,-15.606631706811578,sport
Racing Club,27.7750994968555,-15.60393623758207,sport
Cancha Las Tabaibas,27.769847838789122, -15.609139129297928,sport
Campo de Fútbol El Tablero,27.773136631825544,-15.606684556268252,sport
Campo de Futbol San Fernando,27.764926796065907,-15.595230644909048,sport

Bar La Petanca,27.773196194268554,-15.60766987238593,restaurant
Freiduría el Coyote,27.77350471190739,-15.605068129769705,restaurant
Bocatería Al Gusto,27.773115504895607,-15.6057976905858,restaurant
La Taberna,27.77067001209377,-15.604885970843977,restaurant
Pizzería Pomodoro,27.771078213951856,-15.602225219556194,restaurant
Tito Henry,27.770712730963695,-15.603185450336202,restaurant
La Tasquita Gallega,27.770461164037737,-15.6021930330496,restaurant
Pizzeria La Vita e Pizza,27.77012890494223,-15.60248271160893,restaurant
La Pata Asada,27.768520821451634,-15.605001804244361,restaurant
Bar Cafetería Aridañi,27.768349942409433,-15.605616030126882,restaurant
Los Parranderos,27.76939864808686,-15.602131693246308,restaurant
The Corner,27.767493634848066,-15.601879426624768,restaurant
Burguer King,27.76680061725803,-15.60165143886974,restaurant